"persoonsgebonden_nummer";"inschrijvingsjaar";"opleidingsvorm";"eerste_jaar_aan_deze_instelling";"eerste_jaar_in_het_hoger_onderwijs";"eerste_jaar_aan_deze_opleiding_instelling";"diplomajaar_hoogste_vooropleiding";"geslacht";"leeftijd_per_peildatum_1_oktober";"postcodecijfers_student_op_1_oktober";"soort_inschrijving_continu_hoger_onderwijs";"indicatie_eerstejaars_continu_type_ho_binnen_ho";"datum_inschrijving";"opleidingscode_naam_opleiding";"hoogste_vooropleiding_omschrijving_vooropleiding"
66736;2016;"voltijd";2010;2010;2014;"vooropleiding onbekend of geregistreerd diplomajaar is ongeldig > 0000 voor overige inschrijvingen. NB wanneer het diplomajaar 2003 is dan betreft het een diploma behaald in het schooljaar 2003/2004.";"vrouw";23;"1054";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"vooropleiding onbekend"
66770;2020;"voltijd";2017;2010;2020;"2015";"man";30;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20210501;"M Tandheelkunde";"hbo-ba economie"
66775;2011;"voltijd";2010;2010;2011;"2008";"man";21;"1188";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur & techniek"
66775;2012;"voltijd";2010;2010;2011;"2008";"man";21;"1188";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur & techniek"
66775;2017;"voltijd";2010;2010;2015;"2021";"man";27;"4141";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"wo-on/ma gezondheidszorg"
66782;2013;"voltijd";2010;2009;2013;"2008";"vrouw";22;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20131101;"M Tandheelkunde";"hbo-p gezondheidszorg"
66810;2011;"voltijd";2009;2009;2009;"2021";"vrouw";22;"7941";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
66843;2013;"voltijd";2009;2009;2012;"2012";"man";21;"1056";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"vwo profiel economie & maatschappij"
66843;2015;"voltijd";2009;2009;2012;"2012";"man";23;"1056";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"vwo profiel economie & maatschappij"
66847;2010;"voltijd";2009;2009;2009;"2001";"vrouw";19;"1461";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
66847;2012;"voltijd";2009;2009;2012;"1998";"vrouw";21;"3833";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"hbo-ba economie"
66847;2013;"voltijd";2009;2009;2012;"1998";"vrouw";21;"3833";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"hbo-ba economie"
66890;2009;"voltijd";2009;2009;2009;"2009";"vrouw";17;"7326";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"hbo-p onderwijs"
66890;2011;"voltijd";2009;2009;2009;"2009";"vrouw";19;"7326";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"hbo-p onderwijs"
66890;2013;"voltijd";2009;2009;2012;"2007";"vrouw";21;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"wo-ba gezondheidszorg"
66909;2015;"voltijd";2010;2010;2011;"2017";"vrouw";24;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"B Tandheelkunde";"hbo-p techniek"
66909;2018;"voltijd";2010;2010;2016;"1999";"vrouw";27;"1441";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20180901;"M Tandheelkunde";"hbo-ba gezondheidszorg"
66944;2016;"voltijd";2009;2009;2013;"2016";"man";25;"1033";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"wo-p natuur"
66948;2013;"voltijd";2011;2011;2011;"2016";"vrouw";25;"1716";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"wo-on/ma gedrag en maatschappij"
66948;2014;"voltijd";2011;2011;2014;"2010";"vrouw";26;"1107";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150801;"M Tandheelkunde";"wo-ba recht"
66948;2015;"voltijd";2011;2011;2014;"2010";"vrouw";26;"1107";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150801;"M Tandheelkunde";"wo-ba recht"
66948;2017;"voltijd";2011;2011;2014;"2010";"vrouw";29;"1107";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"wo-ba recht"
66966;2012;"voltijd";2009;2009;2009;"2004";"vrouw";21;"3432";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
66966;2013;"voltijd";2009;2009;2013;"2010";"vrouw";22;"1091";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"hbo-ba economie"
66976;2009;"voltijd";2009;2009;2009;"2015";"vrouw";18;"1078";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
67016;2014;"voltijd";2009;2009;2013;"2008";"man";25;"1059";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"wo-ba gezondheidszorg"
67016;2015;"voltijd";2009;2009;2013;"2008";"man";26;"1059";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"wo-ba gezondheidszorg"
67065;2011;"voltijd";2007;2007;2010;"2019";"vrouw";20;"1073";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"M Tandheelkunde";"hbo-ba techniek"
67078;2009;"voltijd";2005;2005;2008;"2014";"vrouw";25;"woonachtig in Duitsland";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"M Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
67136;2015;"voltijd";2010;2010;2014;"2013";"vrouw";22;"1094";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
67139;2015;"voltijd";2009;2009;2013;"2011";"vrouw";22;"1777";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"hbo-p economie"
67161;2017;"voltijd";2009;2009;2012;"2019";"vrouw";25;"1901";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"wo-ba economie"
67161;2018;"voltijd";2009;2009;2012;"2019";"vrouw";26;"1901";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20180901;"M Tandheelkunde";"wo-ba economie"
67189;2014;"voltijd";2011;2010;2014;"2014";"vrouw";22;"1051";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"wo-ba recht"
67189;2017;"voltijd";2011;2010;2014;"2014";"vrouw";25;"1051";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"wo-ba recht"
67229;2013;"voltijd";2009;2009;2012;"2005";"man";20;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"vwo profiel economie & maatschappij"
67230;2017;"voltijd";2009;2009;2014;"2010";"vrouw";23;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"wo-ba gezondheidszorg"
67233;2011;"voltijd";2009;2009;2009;"1997";"vrouw";21;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"wo-p gezondheidszorg"
67233;2015;"voltijd";2009;2009;2012;"2018";"vrouw";25;"2151";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
67247;2008;"voltijd";2008;2008;2008;"2015";"vrouw";20;"1098";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20080901;"B Tandheelkunde";"vwo profiel economie/maatschappij & cultuur/maatschappij"
67247;2013;"voltijd";2008;2008;2011;"2002";"vrouw";25;"3608";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
67268;2013;"voltijd";2009;2009;2012;"2011";"vrouw";23;"2331";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"wo-ba recht"
67268;2015;"voltijd";2009;2009;2012;"2011";"vrouw";25;"2331";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"wo-ba recht"
67321;2016;"voltijd";2010;2010;2014;"2014";"vrouw";27;"1091";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"wo-on/ma recht"
67366;2013;"voltijd";2011;2011;2012;"2017";"vrouw";20;"woonachtig elders in het buitenland";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"vwo profiel economie/maatschappij & cultuur/maatschappij"
67366;2016;"voltijd";2011;2011;2016;"2008";"vrouw";23;"2401";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"wo-ba natuur"
67366;2018;"voltijd";2011;2011;2016;"2008";"vrouw";25;"2401";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20180901;"M Tandheelkunde";"wo-ba natuur"
67369;2012;"voltijd";2010;2010;2010;"2011";"vrouw";19;"2011";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"B Tandheelkunde";"vwo profiel cultuur & maatschappij"
67399;2011;"voltijd";2010;2010;2010;"2005";"vrouw";20;"1223";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
67399;2014;"voltijd";2010;2010;2014;"2021";"vrouw";23;"3822";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20141101;"M Tandheelkunde";"wo-ba sectoroverstijgend"
67401;2013;"voltijd";2013;2011;2013;"2014";"vrouw";22;"1311";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
67401;2017;"voltijd";2013;2011;2016;"2017";"vrouw";26;"1817";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
67401;2019;"voltijd";2013;2011;2016;"2017";"vrouw";28;"1817";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20190901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
67412;2016;"voltijd";2010;2010;2014;"2012";"man";24;"1185";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
67412;2017;"voltijd";2010;2010;2014;"2012";"man";25;"1185";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
67434;2012;"voltijd";2009;2009;2012;"2010";"vrouw";21;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"wo-ba recht"
67434;2013;"voltijd";2009;2009;2012;"2010";"vrouw";21;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"wo-ba recht"
67441;2013;"voltijd";2013;2009;2013;"2016";"vrouw";24;"1115";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"hbo-p economie"
67565;2009;"voltijd";2009;2009;2009;"2009";"vrouw";18;"1067";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
67565;2010;"voltijd";2009;2009;2009;"2009";"vrouw";18;"1067";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
67565;2011;"voltijd";2009;2009;2009;"2009";"vrouw";20;"1067";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
67565;2013;"voltijd";2009;2009;2012;"2021";"vrouw";22;"2141";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
67622;2014;"voltijd";2009;2009;2012;"2021";"vrouw";25;"3741";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"B Tandheelkunde";"wo-ba gezondheidszorg"
67622;2016;"voltijd";2009;2009;2015;"2018";"vrouw";27;"1094";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
67635;2015;"voltijd";2010;2010;2012;"2006";"vrouw";22;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"B Tandheelkunde";"hbo-p gezondheidszorg"
67635;2018;"voltijd";2010;2010;2015;"2012";"vrouw";25;"7522";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20180901;"M Tandheelkunde";"hbo-ba gezondheidszorg"
67638;2013;"voltijd";2010;2010;2011;"2015";"vrouw";21;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
67638;2016;"voltijd";2010;2010;2014;"2014";"vrouw";24;"2133";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170301;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
67638;2017;"voltijd";2010;2010;2014;"2014";"vrouw";25;"2133";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
67661;2011;"voltijd";2009;2009;2009;"2020";"man";19;"1244";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
67661;2014;"voltijd";2009;2009;2012;"2021";"man";22;"3532";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"wo-ba sectoroverstijgend"
67677;2013;"voltijd";2013;2011;2013;"2000";"vrouw";19;"1432";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"vwo algemeen"
67677;2014;"voltijd";2013;2011;2013;"2000";"vrouw";19;"1432";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"vwo algemeen"
67677;2019;"voltijd";2013;2011;2018;"2004";"vrouw";25;"1092";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20190901;"M Tandheelkunde";"hbo-ba onderwijs"
67799;2014;"voltijd";2014;2010;2014;"2015";"man";21;"1102";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150801;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
